t,x,y,z,vx,vy,l2_actual,cy_pos_y,cy_neg_y
3.106,0.30783462088921026,-0.531838493291339,0.24987223060541028,0.09063125770472441,-0.05327799126452301,0.5788000000000001,-0.27327730356787955,-0.7903996830147986
3.108,0.30800719250697384,-0.5319482617510116,0.24998149809471884,0.08628580888179654,-0.054884229836280725,0.5788,-0.27343469625498995,-0.7904618272470333
3.11,0.30817236907319767,-0.5320611926559771,0.250062108173961,0.08258828311191008,-0.05646545248273417,0.5788,-0.27359622727878996,-0.7905261580331642
3.112,0.30833754489507736,-0.5321741239351743,0.25010347825295404,0.08258791093985564,-0.056465639598590384,0.5788,-0.2737578093334895,-0.7905904385368591
3.114,0.3085027206807685,-0.5322870552325866,0.2501056083319357,0.0825878928455721,-0.05646564870613894,0.5788,-0.2739194415487045,-0.7906546689164686
3.116,0.30868105154118314,-0.5324524248783934,0.25013392778195254,0.08916543020731053,-0.08268482290338816,0.5788,-0.2741330934334103,-0.7907717563233765
3.118,0.30887067584007494,-0.5326550308412813,0.25017136328944894,0.09481214944589403,-0.10130298144396457,0.5788,-0.2743866049137455,-0.790923456768817
3.12,0.30906030009820024,-0.5328576368246981,0.25016955879692365,0.09481212906265239,-0.10130299170841939,0.5788,-0.27464018384169253,-0.7910750898077037
3.122,0.3092499243543291,-0.5330602428091157,0.2501285143043889,0.09481212806441772,-0.10130299220879309,0.5788000000000001,-0.2748938272089124,-0.7912266584093189
3.124,0.30942933224383995,-0.5332714346412958,0.25006709862140464,0.08970394475544116,-0.10559591609007464,0.5787999999999999,-0.2751541857281722,-0.7913886835544194
3.126,0.30960001146273847,-0.5334891891426123,0.24998179025142417,0.08533960944925133,-0.10887725065830564,0.5788,-0.2754200791123338,-0.7915582991728909
3.128,0.3097631034522678,-0.5337121364678803,0.24987007283373933,0.08154599476468469,-0.11147366263394953,0.5787999999999999,-0.2756906414624662,-0.7917336314732943
3.13,0.3099261948056217,-0.5339350841157268,0.24971911541622122,0.08154567667696289,-0.11147382392326251,0.5788000000000001,-0.275961274967876,-0.7919088932635776
3.132,0.31016649032222854,-0.5341502232299273,0.24969291574710628,0.12014775830342106,-0.10756955710029395,0.5788,-0.27620521356933386,-0.7920952328905209
3.134,0.3104161583712083,-0.5343219077067545,0.24983715639933507,0.12483402448986812,-0.08584223841355491,0.5788,-0.2764082434173044,-0.7922355719962045
3.136,0.31063849493747986,-0.5345077743254036,0.24998720885148612,0.11116828313579254,-0.09293330932456738,0.5788000000000002,-0.27663581983839475,-0.7923797288124126
3.138,0.3108450461994297,-0.5346976212333827,0.2501178422930673,0.10327563097492559,-0.09492345398952753,0.5788000000000001,-0.2768715394380031,-0.7925237030287624
3.14,0.31103966464638,-0.5348910982511526,0.2502248486071002,0.09730922347515708,-0.09673850888491105,0.5788,-0.2771135434824538,-0.7926686530198512
3.142,0.31122495248209436,-0.5350878828766193,0.2503052978548688,0.09264391785717205,-0.09839231273339254,0.5788,-0.2773605603795802,-0.7928152053736586
3.144,0.31140263513317723,-0.5352877164711402,0.2503572021579494,0.08884132554144124,-0.09991679726040209,0.5788000000000002,-0.277611738753159,-0.7929636941891214
3.146,0.31157380371015864,-0.5354904487093602,0.25037927494609075,0.08558428849069549,-0.10136611911001935,0.5788,-0.277866544515632,-0.7931143529030885
3.148,0.31173917889428754,-0.5356959452137893,0.2503706629725244,0.08268759206443935,-0.10274825221449564,0.5788000000000001,-0.2781246165522866,-0.793267273875292
3.15,0.3118992130237056,-0.5359041358307546,0.25033084463843863,0.0800170647090257,-0.10409530848267455,0.5787999999999998,-0.2783857327394605,-0.7934225389220486
3.152,0.31205414959724365,-0.5361149886920765,0.25025954470135126,0.07746828676902771,-0.10542643066096734,0.5788,-0.2786497820754591,-0.793580195308694
3.154,0.3122090858402699,-0.5363258417227134,0.2501490047645856,0.07746812151312607,-0.10542651531843918,0.5787999999999999,-0.2789138794045049,-0.7937378040409218
3.156,0.31236402206725306,-0.5365366947615717,0.24999922482784567,0.07746811349157362,-0.10542651942918134,0.5788,-0.27917802433259686,-0.7938953651905466
3.158,0.312568887092069,-0.5367079600987537,0.24992044309507208,0.10243251240796622,-0.08563266859097396,0.5788000000000001,-0.2793846874107021,-0.7940312327868052
3.16,0.31274414067756007,-0.5368932402118537,0.24986241809629048,0.08762679274553603,-0.09264005655003109,0.5788000000000001,-0.2796205506540955,-0.7941659297696119
3.162,0.31293518156609945,-0.5371296403526515,0.24986820525577033,0.09552044426969099,-0.11820007039891842,0.5788,-0.27990525811333833,-0.7943540225919647
3.164,0.31313400295326194,-0.5373950323109539,0.2498858426548679,0.09941069358123177,-0.13269597915117537,0.5788,-0.2802215023634153,-0.7945685622584924
3.166,0.3133376955589854,-0.5376860718289694,0.249905026268038,0.10184630286173524,-0.14551975900779646,0.5788000000000001,-0.2805651680880122,-0.7948069755699267
3.168,0.31354406460290296,-0.537999302953795,0.24991769594521498,0.10318452195879228,-0.15661556241277222,0.5788000000000001,-0.2809323079463165,-0.7950662979612734
3.17,0.31373610596790447,-0.5383277488234075,0.24992632620725397,0.09602068250076289,-0.1642229348062751,0.5788,-0.28131838865376874,-0.7953371089930463
3.172,0.31391623605517505,-0.5386656838498147,0.2499230531405922,0.09006504363528847,-0.16896751320362524,0.5787999999999999,-0.2817169406941699,-0.7956144270054595
3.174,0.31409079452522637,-0.5390036229864105,0.24988611070529074,0.08727923502566248,-0.16896956829785306,0.5788,-0.28211810127676873,-0.7958891446960522
3.176,0.3142653526062305,-0.5393415623243303,0.24980992827009005,0.08727904050207905,-0.16896966895990356,0.5788,-0.28251931629415006,-0.7961638083545105
3.178,0.3144586467975956,-0.5397037972923012,0.24973741914511752,0.09664709568254012,-0.18111748398549837,0.5788,-0.2829423327837093,-0.7964652618008932
3.18,0.3147108254794836,-0.5400309344589984,0.24974749802907323,0.12608934094400084,-0.16356858334861277,0.5787999999999999,-0.28330628256323637,-0.7967555863547604
3.182,0.3149815310886334,-0.5403875921768976,0.24976621547503378,0.13535280457492407,-0.17832885894958234,0.5788,-0.2836920009580118,-0.7970831833957834
3.184,0.31522710622058026,-0.5407535832448908,0.24979095629074294,0.12278756597341028,-0.18299553399656873,0.5788,-0.2840998802690954,-0.7974072862206861
3.186,0.3154552635208616,-0.5411195944363849,0.24979387397760486,0.11407865014068926,-0.18300559574707073,0.5788,-0.28451598152986224,-0.7977232073429076
3.188,0.31567030510371596,-0.5414856172834085,0.24977066691867195,0.10752079142717677,-0.18301142351180513,0.5788000000000001,-0.28493825449556603,-0.7980329800712509
